2022-09-21 00:15:46 status unpacked g++-5:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:46 status unpacked g++-5:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:46 trigproc man-db:amd64 2.7.5-1 <none>
2022-09-21 00:15:46 status half-configured man-db:amd64 2.7.5-1
2022-09-21 00:15:46 status installed man-db:amd64 2.7.5-1
2022-09-21 00:15:46 startup archives unpack
2022-09-21 00:15:46 upgrade build-essential:amd64 12.1ubuntu2 12.1ubuntu2
2022-09-21 00:15:46 status half-configured build-essential:amd64 12.1ubuntu2
2022-09-21 00:15:46 status unpacked build-essential:amd64 12.1ubuntu2
2022-09-21 00:15:46 status half-installed build-essential:amd64 12.1ubuntu2
2022-09-21 00:15:46 status half-installed build-essential:amd64 12.1ubuntu2
2022-09-21 00:15:46 status unpacked build-essential:amd64 12.1ubuntu2
2022-09-21 00:15:46 status unpacked build-essential:amd64 12.1ubuntu2
2022-09-21 00:15:46 startup archives unpack
2022-09-21 00:15:46 upgrade libatomic1:amd64 5.4.0-6ubuntu1~16.04.12 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:46 status triggers-pending libc-bin:amd64 2.23-0ubuntu11.3
2022-09-21 00:15:47 status half-configured libatomic1:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:47 status unpacked libatomic1:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:47 status half-installed libatomic1:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:47 status half-installed libatomic1:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:47 status unpacked libatomic1:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:47 status unpacked libatomic1:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:47 trigproc libc-bin:amd64 2.23-0ubuntu11.3 <none>
2022-09-21 00:15:47 status half-configured libc-bin:amd64 2.23-0ubuntu11.3
2022-09-21 00:15:47 status installed libc-bin:amd64 2.23-0ubuntu11.3
2022-09-21 00:15:47 startup archives unpack
2022-09-21 00:15:47 upgrade libpython3-dev:amd64 3.5.1-3 3.5.1-3
2022-09-21 00:15:47 status half-configured libpython3-dev:amd64 3.5.1-3
2022-09-21 00:15:47 status unpacked libpython3-dev:amd64 3.5.1-3
2022-09-21 00:15:47 status half-installed libpython3-dev:amd64 3.5.1-3
2022-09-21 00:15:47 status triggers-pending man-db:amd64 2.7.5-1
2022-09-21 00:15:47 status half-installed libpython3-dev:amd64 3.5.1-3
2022-09-21 00:15:47 status unpacked libpython3-dev:amd64 3.5.1-3
2022-09-21 00:15:47 status unpacked libpython3-dev:amd64 3.5.1-3
2022-09-21 00:15:47 trigproc man-db:amd64 2.7.5-1 <none>
2022-09-21 00:15:47 status half-configured man-db:amd64 2.7.5-1
2022-09-21 00:15:48 status installed man-db:amd64 2.7.5-1
2022-09-21 00:15:48 startup archives unpack
2022-09-21 00:15:48 upgrade g++:amd64 4:5.3.1-1ubuntu1 4:5.3.1-1ubuntu1
2022-09-21 00:15:48 status half-configured g++:amd64 4:5.3.1-1ubuntu1
2022-09-21 00:15:48 status unpacked g++:amd64 4:5.3.1-1ubuntu1
2022-09-21 00:15:48 status half-installed g++:amd64 4:5.3.1-1ubuntu1
2022-09-21 00:15:48 status triggers-pending man-db:amd64 2.7.5-1
2022-09-21 00:15:48 status half-installed g++:amd64 4:5.3.1-1ubuntu1
2022-09-21 00:15:48 status unpacked g++:amd64 4:5.3.1-1ubuntu1
2022-09-21 00:15:48 status unpacked g++:amd64 4:5.3.1-1ubuntu1
2022-09-21 00:15:48 trigproc man-db:amd64 2.7.5-1 <none>
2022-09-21 00:15:48 status half-configured man-db:amd64 2.7.5-1
2022-09-21 00:15:48 status installed man-db:amd64 2.7.5-1
2022-09-21 00:15:48 startup archives unpack
2022-09-21 00:15:48 upgrade libstdc++-5-dev:amd64 5.4.0-6ubuntu1~16.04.12 5.4.0-6ubuntu1~16.04.12
